id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,number_of_reviews_ltm,last_review,calculated_host_listings_count,availability_365
44331149,"Large House in Msida, borderline to Gzira",216088132,Semira,,Gzira,35.90163,14.49019,Entire home/apt,270,15,0,0,,1,180
15639086,"Unique Maltese Townhouse, 2 min away from the sea",100871169,Jason,,Gzira,35.90623,14.49652,Entire home/apt,99,3,20,0,2019-08-18,1,298
40026035,Penthouse with nice terrace Sliema,7494364,Jordan,,Gzira,35.90837,14.49697,Entire home/apt,130,5,0,0,,3,364
9666489,Delectable Shared Room,27803372,Jaycee,,Gzira,35.90905,14.49554,Shared room,20,3,3,0,2016-10-04,18,364
9666391,Typical Maltese Townhouse - Shared,27803372,Jaycee,,Gzira,35.90908,14.49562,Shared room,20,3,2,0,2016-08-26,18,364
45483487,Walter's BnB Shared room,6819852,Mark,,Gzira,35.90609,14.49324,Private room,14,1,0,0,,5,365
42335908,"Gzira, central 1 double bedroom apartment full",336659126,Charmaine,,Gzira,35.90397,14.49138,Entire home/apt,60,2,0,0,,2,365
35231770,For Cheap Holiday,167891692,Ahmet,,Gzira,35.90691,14.49294,Private room,50,1,0,0,,2,365
39246439,GZR0003-FULL,15867343,Ivan & Milena,,Gzira,35.90238,14.48978,Entire home/apt,66,3,6,5,2020-04-23,18,0
40794264,Urban Oasis Gzira 2,166540910,Urban  MT,,Gzira,35.90492,14.49101,Entire home/apt,50,2,0,0,,12,0
33736704,double room ensuite bath 101 - 5 MIN FROM THE SEA,254306977,Oasis Rooms,,Gzira,35.9052,14.49164,Private room,50,2,16,0,2019-10-01,4,0
21864355,Central & Sweet,17912901,Mark,,Gzira,35.90662,14.49234,Entire home/apt,70,2,18,3,2020-08-28,3,151
19480807,Off the Strand Gzira 2-bedroom with outdoor patio,1774894,Short Lets Malta,,Gzira,35.90714,14.49467,Entire home/apt,97,7,4,0,2019-08-19,132,210
21315882,"Sunny, Gzira 2-bedroom Penthouse",1774894,Short Lets Malta,,Gzira,35.90608,14.49512,Entire home/apt,87,7,2,0,2019-08-20,132,365
